Time (s),power (dB),amplitude (real),amplitude (imag)
-3.917921863967992e-05,-57.44564331327484,-3.974749186082632e-09,9.986982974585074e-10
-3.915921393269004e-05,-58.173008107311006,3.6812726362841846e-09,-8.088123054121626e-10
-3.913920922570016e-05,-58.52272776381429,-3.59327730172602e-09,4.418186829494567e-10
-3.911920451871028e-05,-58.08919365671059,3.804368576647702e-09,-9.771550276105088e-11
-3.90991998117204e-05,-57.19424539163589,-4.218645622156499e-09,3.665574450964769e-12
-3.907919510473052e-05,-56.459524262731435,4.5846886468920105e-09,-2.410445637272003e-10
-3.9059190397740644e-05,-56.22073690881746,-4.671696466165541e-09,6.66389728062788e-10
-3.9039185690750764e-05,-56.526285611596336,4.4415378234924365e-09,-1.0142392465540962e-09
-3.901918098376088e-05,-57.21754655048531,-4.0625016404209115e-09,1.094456238062481e-09
-3.8999176276771e-05,-57.93632904446187,3.765092791763757e-09,-9.086762608974803e-10
-3.897917156978112e-05,-58.25514254215577,-3.6841650645171337e-09,6.055847692369505e-10
-3.895916686279124e-05,-58.03737114297286,3.812034506732939e-09,-3.5357235814990796e-10
-3.893916215580136e-05,-57.52562140363318,-4.052801135416776e-09,2.5367979951415266e-10
-3.891915744881148e-05,-57.02481651416258,4.289300675924176e-09,-3.2696929858447766e-10
-3.88991527418216e-05,-56.728853267585066,-4.419420092975778e-09,5.279949936837341e-10
-3.887914803483172e-05,-56.72638571925518,4.387452212250015e-09,-7.560254703424033e-10
-3.885914332784184e-05,-56.99761698936618,-4.221942068931981e-09,8.92453633559623e-10
-3.8839138620851965e-05,-57.384515788642744,4.033209323533324e-09,-8.759736497856397e-10
-3.8819133913862084e-05,-57.6393619170816,-3.936391016113934e-09,7.537410570062386e-10
-3.8799129206872204e-05,-57.63815114959618,3.957263277004616e-09,-6.386282746025203e-10
-3.877912449988232e-05,-57.51131053557461,-4.022773070595362e-09,6.010601318070033e-10
-3.875911979289244e-05,-57.44328093929221,4.053615625360847e-09,-6.11038903575365e-10
-3.873911508590256e-05,-57.446481821824506,-4.054184093239949e-09,5.969741709220547e-10
-3.871911037891268e-05,-57.37802829951892,4.0935914444956314e-09,-5.49618890740572e-10
-3.86991056719228e-05,-57.15600355656903,-4.202299760747763e-09,5.431984177149591e-10
-3.867910096493292e-05,-56.90721171229157,4.312221716956051e-09,-6.463018707677682e-10
-3.865909625794304e-05,-56.84042657266602,-4.315186080981499e-09,8.287155076612426e-10
-3.863909155095316e-05,-57.05770384983941,4.173580005766923e-09,-9.729530095899893e-10
-3.8619086843963286e-05,-57.48399044747717,-3.962053917983061e-09,9.749390495534871e-10
-3.8599082136973405e-05,-57.88698809679727,3.806779206900163e-09,-8.255035793206117e-10
-3.8579077429983525e-05,-57.99971440075865,-3.797039758140719e-09,6.05596016074069e-10
-3.8559072722993644e-05,-57.725711144882155,3.945025163602875e-09,-4.287767735881467e-10
-3.8539068016003763e-05,-57.21180994849192,-4.19181788628576e-09,3.9219200070133375e-10
-3.851906330901388e-05,-56.71828404947905,4.42303365817046e-09,-5.432268626863967e-10
-3.8499058602024e-05,-56.484888491697376,-4.499820207699459e-09,8.40446283463744e-10
-3.847905389503412e-05,-56.669476783011476,4.335374074457075e-09,-1.1345863156151495e-09
-3.845904918804424e-05,-57.29024961320695,-3.986333331177042e-09,1.231678139666646e-09
-3.843904448105436e-05,-58.09460780214741,3.659891322864793e-09,-1.034369543742829e-09
