Time (s),power (dB),amplitude (real),amplitude (imag)
-4.011943986820428e-05,-57.168299112262275,3.263502065284712e-09,-1.1161259746954022e-10
-4.00994351612144e-05,-57.072546097926704,-3.2980854185122727e-09,1.524520398600675e-10
-4.007943045422452e-05,-57.03144148555023,3.3108757751250713e-09,-2.058428724379231e-10
-4.005942574723464e-05,-57.05284547784703,-3.298935376007842e-09,2.592189981932409e-10
-4.003942104024476e-05,-57.12996669327771,3.2660364668496303e-09,-3.007326901719349e-10
-4.001941633325488e-05,-57.243944583635766,-3.2209966135550047e-09,3.224367710032674e-10
-3.9999411626265e-05,-57.36832141776625,3.174789833959621e-09,-3.219481604932771e-10
-3.997940691927512e-05,-57.475264064162246,-3.1374905197096848e-09,3.023360312141417e-10
-3.995940221228524e-05,-57.54256511991454,3.1159684011170833e-09,-2.705892038447584e-10
-3.993939750529536e-05,-57.55919434685063,-3.1128257095280835e-09,2.353890500528409e-10
-3.991939279830548e-05,-57.52708157169013,3.126565321476856e-09,-2.049531710928659e-10
-3.98993880913156e-05,-57.45864761967195,-3.1526081384740163e-09,1.8547676155640834e-10
-3.987938338432572e-05,-57.37190260515271,3.184654506345937e-09,-1.8034245869642223e-10
-3.985937867733584e-05,-57.285619318356055,-3.2159945371564324e-09,1.8997549097451396e-10
-3.983937397034596e-05,-57.215986141690934,3.24059758772189e-09,-2.121048916098748e-10
-3.981936926335608e-05,-57.17469981101476,-3.2539991372418027e-09,2.422584188157531e-10
-3.9799364556366204e-05,-57.16778714572604,3.2540474640410716e-09,-2.7447271359456217e-10
-3.977935984937632e-05,-57.19461462443837,-3.241465795038587e-09,3.0230361337018304e-10
-3.975935514238644e-05,-57.24715333085993,3.2200208070405557e-09,-3.201739496508106e-10
-3.973935043539656e-05,-57.31025190583216,-3.1960062342915007e-09,3.24893364662954e-10
-3.971934572840668e-05,-57.36408272946687,3.1768601897989243e-09,-3.1692867302514884e-10
-3.96993410214168e-05,-57.38951473462265,-3.16904648975539e-09,3.008560231660089e-10
-3.967933631442692e-05,-57.375453858748045,3.1757323335034767e-09,-2.84526767473302e-10
-3.965933160743704e-05,-57.32489464902412,-3.1950934053396045e-09,2.768630580117099e-10
-3.963932690044716e-05,-57.255880493150016,3.2200833553080314e-09,-2.847596654718389e-10
-3.961932219345728e-05,-57.196211757960015,-3.240129640068248e-09,3.1008220728230187e-10
-3.95993174864674e-05,-57.17432979773338,3.2445378594731997e-09,-3.479666239386001e-10
-3.957931277947752e-05,-57.20990420882609,-3.2266364944396945e-09,3.8737311634671424e-10
-3.955930807248764e-05,-57.306189137649,3.1871866419308045e-09,-4.1413960294178054e-10
-3.9539303365497764e-05,-57.44497520822949,-3.1355820381394545e-09,4.158273924699099e-10
-3.951929865850788e-05,-57.58598665124845,3.087966366072502e-09,-3.8680963390755126e-10
-3.9499293951518e-05,-57.67501836699023,-3.0624523078352883e-09,3.316872173633271e-10
-3.947928924452812e-05,-57.66412424122569,3.072783360341984e-09,-2.6545196469635995e-10
-3.945928453753824e-05,-57.53719962218011,-3.122586227127408e-09,2.098239586832935e-10
-3.943927983054836e-05,-57.32269335712098,3.2024495822300864e-09,-1.8656439808148894e-10
-3.941927512355848e-05,-57.08207944006372,-3.2913042595585903e-09,2.0981725067131485e-10
-3.93992704165686e-05,-56.88463582502851,3.3621597653088237e-09,-2.8016070195372793e-10
-3.937926570957872e-05,-56.786427988346446,-3.390641462149299e-09,3.827377860255372e-10
-3.935926100258884e-05,-56.81963143237107,3.3635657780343968e-09,-4.905994016886547e-10
-3.933925629559896e-05,-56.987673237520994,-3.28448716198189e-09,5.726042610622353e-10
-3.9319251588609084e-05,-57.26080127120093,3.173953454711906e-09,-6.034986690614391e-10
-3.9299246881619204e-05,-57.57231957977095,-3.0639174579180283e-09,5.727954172284876e-10
-3.927924217462932e-05,-57.82508227281204,2.987813069107339e-09,-4.892218949960007e-10
-3.925923746763944e-05,-57.92332883868619,-2.969478448674956e-09,3.7885108619046605e-10
-3.923923276064956e-05,-57.82548136684733,3.0147478928174223e-09,-2.7716031222127384e-10
-3.921922805365968e-05,-57.5739226113858,-3.1088283158202707e-09,2.174529163306627e-10
-3.91992233466698e-05,-57.26793463684115,3.220693776853693e-09,-2.1952659598567614e-10
-3.917921863967992e-05,-57.010390576816775,-3.313287737297573e-09,2.8260023480308154e-10
-3.915921393269004e-05,-56.87331813772465,3.356178878593604e-09,-3.8519259133940264e-10
-3.913920922570016e-05,-56.8882795797297,-3.336273586365104e-09,4.922812175960465e-10
-3.911920451871028e-05,-57.04611790476923,3.2626870178176055e-09,-5.674666257019404e-10
-3.90991998117204e-05,-57.29636716895129,-3.163811705823061e-09,5.859639295365981e-10
-3.907919510473052e-05,-57.549959359534284,3.0773607345705223e-09,-5.437712375766492e-10
-3.9059190397740644e-05,-57.700563989724856,-3.036739239289778e-09,4.5956079316074544e-10
-3.9039185690750764e-05,-57.6741641246428,3.0585650243057264e-09,-3.68343731678815e-10
-3.901918098376088e-05,-57.47778044554147,-3.1359321421685594e-09,3.0891493496461966e-10
-3.8999176276771e-05,-57.19645306191737,3.240101070311188e-09,-3.094308816323132e-10
-3.897917156978112e-05,-56.94219628188938,-3.3303329529786854e-09,3.763288905185528e-10
-3.895916686279124e-05,-56.806835817223714,3.3686023960689433e-09,-4.907880675218994e-10
-3.893916215580136e-05,-56.84269903065044,-3.3340101917654747e-09,6.143538592206419e-10
-3.891915744881148e-05,-57.05837678012057,3.2316125143044572e-09,-7.02076976940622e-10
-3.88991527418216e-05,-57.41321683716035,-3.092193887965625e-09,7.187166411443094e-10
-3.887914803483172e-05,-57.80787652032717,2.9626518860423707e-09,-6.522621174839136e-10
-3.885914332784184e-05,-58.09072353343828,-2.8900425391086846e-09,5.197600389350762e-10
-3.8839138620851965e-05,-58.11759894073157,2.9047426786555085e-09,-3.630049408778399e-10
-3.8819133913862084e-05,-57.85297004227684,-3.0087168467408883e-09,2.35192800922477e-10
-3.8799129206872204e-05,-57.402484871905585,3.1732784478657023e-09,-1.8290950298508048e-10
-3.877912449988232e-05,-56.93221636717607,-3.347513459529452e-09,2.296447761114551e-10
-3.875911979289244e-05,-56.58037363865242,3.474794551598127e-09,-3.666921424149151e-10
-3.873911508590256e-05,-56.42918820395158,-3.511874836426537e-09,5.548731600283951e-10
-3.871911037891268e-05,-56.511467674314645,3.4439819227353326e-09,-7.368164733449947e-10
-3.86991056719228e-05,-56.81739714969507,-3.290560775631672e-09,8.558142691012531e-10
-3.867910096493292e-05,-57.28840817332235,3.099455604365278e-09,-8.748850655087707e-10
-3.865909625794304e-05,-57.801718978927,-2.9313054826545467e-09,7.894665244878082e-10
-3.863909155095316e-05,-58.174396908897336,2.839365104649342e-09,-6.29259003808261e-10
-3.8619086843963286e-05,-58.23909376076216,-2.8516308428524943e-09,4.484397735559084e-10
-3.8599082136973405e-05,-57.9704244578092,2.961439876497066e-09,-3.074916344920259e-10
-3.8579077429983525e-05,-57.508373563800404,-3.1298363566934546e-09,2.528287536948066e-10
-3.8559072722993644e-05,-57.04348769539092,3.2989481885646254e-09,-3.012139097741151e-10
-3.8539068016003763e-05,-56.7175615168544,-3.4118000894969815e-09,4.343415381634949e-10
-3.851906330901388e-05,-56.603638988119485,3.4317417343670997e-09,-6.054597444471502e-10
-3.8499058602024e-05,-56.71876836655002,-3.354788804978336e-09,7.557366035453048e-10
-3.847905389503412e-05,-57.03121455189023,3.210627150882696e-09,-8.346963579986925e-10
-3.845904918804424e-05,-57.45443137523054,-3.0519645542181584e-09,8.17642430532467e-10
-3.843904448105436e-05,-57.842486759064,2.9359581994157314e-09,-7.140402414442249e-10
